Jerarquía;Descripción;esHoja;Puntuación
1.2.10.525.599.658;Documento > Párrafos > Párrafo > Range > Font > Superscript;true;1
1.2.10.525.599.659;Documento > Párrafos > Párrafo > Range > Font > UnderlineColor;true;1
1.2.10.525.600;Documento > Párrafos > Párrafo > Range > HighlightColorIndex;true;1
1.2.10.525.601;Documento > Párrafos > Párrafo > Range > InlineShapes;true;0
1.2.10.525.602;Documento > Párrafos > Párrafo > Range > Italic;true;1
1.2.10.525.603;Documento > Párrafos > Párrafo > Range > Text;true;1
1.2.10.525.604;Documento > Párrafos > Párrafo > Range > Underline;true;1
1.2.10.526;Documento > Párrafos > Párrafo > División automática de palabras;true;1
1.2.10.527;Documento > Párrafos > Párrafo > Rango-Prop. espec. párrafo;false;0
1.2.10.527.663;Documento > Párrafos > Párrafo > Rango-Prop. espec. párrafo > Formato de lista;false;0
1.2.10.527.663.664;Documento > Párrafos > Párrafo > Rango-Prop. espec. párrafo > Formato de lista > Nivel de lista;true;1
1.2.10.527.663.665;Documento > Párrafos > Párrafo > Rango-Prop. espec. párrafo > Formato de lista > Expr. Lista;true;1
1.2.10.527.663.666;Documento > Párrafos > Párrafo > Rango-Prop. espec. párrafo > Formato de lista > Tipo de lista;true;1
1.2.10.527.663.667;Documento > Párrafos > Párrafo > Rango-Prop. espec. párrafo > Formato de lista > Núm. Lista;true;1
1.2.11;Documento > Párrafos > Párrafo;false;0
1.2.11.668;Documento > Párrafos > Párrafo > Alineación;true;1
1.2.11.669;Documento > Párrafos > Párrafo > Letra capital;true;0
1.2.11.670;Documento > Párrafos > Párrafo > Sang. 1ª línea;true;1
1.2.11.671;Documento > Párrafos > Párrafo > KeepTogether;true;1
1.2.11.672;Documento > Párrafos > Párrafo > KeepWithNext;true;1
1.2.11.673;Documento > Párrafos > Párrafo > Sang. izq.;true;1
1.2.11.674;Documento > Párrafos > Párrafo > Interlineado;true;1
1.2.11.675;Documento > Párrafos > Párrafo > Interlineado;true;1
1.2.11.676;Documento > Párrafos > Párrafo > SpaceAfter;true;1
1.2.11.677;Documento > Párrafos > Párrafo > SpaceBefore;true;1
1.2.11.678;Documento > Párrafos > Párrafo > OutlineLevel;true;1
1.2.11.679;Documento > Párrafos > Párrafo > PageBreakBefore;true;1
1.2.11.680;Documento > Párrafos > Párrafo > Sang. dcha.;true;1
1.2.11.681;Documento > Párrafos > Párrafo > TabStops;false;0
1.2.11.681.686;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.11.681.686.702;Documento > Párrafos > Párrafo > TabStops > Tabulación > Alineación;true;1
1.2.11.681.686.703;Documento > Párrafos > Párrafo > TabStops > Tabulación > Relleno;true;1
1.2.11.681.686.704;Documento > Párrafos > Párrafo > TabStops > Tabulación > Posición;true;1
1.2.11.681.687;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.11.681.687.705;Documento > Párrafos > Párrafo > TabStops > Tabulación > Alineación;true;1
1.2.11.681.687.706;Documento > Párrafos > Párrafo > TabStops > Tabulación > Relleno;true;1
1.2.11.681.687.707;Documento > Párrafos > Párrafo > TabStops > Tabulación > Posición;true;1
1.2.11.681.688;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.11.681.688.708;Documento > Párrafos > Párrafo > TabStops > Tabulación > Alineación;true;1
1.2.11.681.688.709;Documento > Párrafos > Párrafo > TabStops > Tabulación > Relleno;true;1
1.2.11.681.688.710;Documento > Párrafos > Párrafo > TabStops > Tabulación > Posición;true;1
1.2.11.681.689;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.11.681.689.711;Documento > Párrafos > Párrafo > TabStops > Tabulación > Alineación;true;1
1.2.11.681.689.712;Documento > Párrafos > Párrafo > TabStops > Tabulación > Relleno;true;1
1.2.11.681.689.713;Documento > Párrafos > Párrafo > TabStops > Tabulación > Posición;true;1
1.2.11.681.690;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.11.681.690.714;Documento > Párrafos > Párrafo > TabStops > Tabulación > Alineación;true;1
1.2.11.681.690.715;Documento > Párrafos > Párrafo > TabStops > Tabulación > Relleno;true;1
1.2.11.681.690.716;Documento > Párrafos > Párrafo > TabStops > Tabulación > Posición;true;1
1.2.11.681.691;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.11.681.691.717;Documento > Párrafos > Párrafo > TabStops > Tabulación > Alineación;true;1
1.2.11.681.691.718;Documento > Párrafos > Párrafo > TabStops > Tabulación > Relleno;true;1
1.2.11.681.691.719;Documento > Párrafos > Párrafo > TabStops > Tabulación > Posición;true;1
1.2.11.681.692;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.11.681.692.720;Documento > Párrafos > Párrafo > TabStops > Tabulación > Alineación;true;1
1.2.11.681.692.721;Documento > Párrafos > Párrafo > TabStops > Tabulación > Relleno;true;1
1.2.11.681.692.722;Documento > Párrafos > Párrafo > TabStops > Tabulación > Posición;true;1
1.2.11.681.693;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.11.681.693.723;Documento > Párrafos > Párrafo > TabStops > Tabulación > Alineación;true;1
1.2.11.681.693.724;Documento > Párrafos > Párrafo > TabStops > Tabulación > Relleno;true;1
1.2.11.681.693.725;Documento > Párrafos > Párrafo > TabStops > Tabulación > Posición;true;1
1.2.11.681.694;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.11.681.694.726;Documento > Párrafos > Párrafo > TabStops > Tabulación > Alineación;true;1
1.2.11.681.694.727;Documento > Párrafos > Párrafo > TabStops > Tabulación > Relleno;true;1
1.2.11.681.694.728;Documento > Párrafos > Párrafo > TabStops > Tabulación > Posición;true;1
1.2.11.681.695;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.11.681.695.729;Documento > Párrafos > Párrafo > TabStops > Tabulación > Alineación;true;1
1.2.11.681.695.730;Documento > Párrafos > Párrafo > TabStops > Tabulación > Relleno;true;1
