Jerarquía;Descripción;esHoja;Puntuación
1.2.8.151.158.167;Documento > Párrafos > Párrafo > TabStops > Tabulación > Relleno;true;1
1.2.8.151.158.168;Documento > Párrafos > Párrafo > TabStops > Tabulación > Posición;true;1
1.2.8.151.159.169;Documento > Párrafos > Párrafo > TabStops > Tabulación > Alineación;true;1
1.2.8.151.159.170;Documento > Párrafos > Párrafo > TabStops > Tabulación > Relleno;true;1
1.2.8.151.159.171;Documento > Párrafos > Párrafo > TabStops > Tabulación > Posición;true;1
1.2.8.153.172;Documento > Párrafos > Párrafo > Range > Bordes;false;0
1.2.8.153.173;Documento > Párrafos > Párrafo > Range > Shading;false;0
1.2.8.153.174;Documento > Párrafos > Párrafo > Range > Bold;true;1
1.2.8.153.175;Documento > Párrafos > Párrafo > Range > Font;false;0
1.2.8.153.176;Documento > Párrafos > Párrafo > Range > HighlightColorIndex;true;1
1.2.8.153.177;Documento > Párrafos > Párrafo > Range > InlineShapes;true;0
1.2.8.153.178;Documento > Párrafos > Párrafo > Range > Italic;true;1
1.2.8.153.179;Documento > Párrafos > Párrafo > Range > Text;true;1
1.2.8.153.180;Documento > Párrafos > Párrafo > Range > Underline;true;1
1.2.8.153.172.181;Documento > Párrafos > Párrafo > Range > Bordes > Borde;false;0
1.2.8.153.172.182;Documento > Párrafos > Párrafo > Range > Bordes > Borde;false;0
1.2.8.153.172.183;Documento > Párrafos > Párrafo > Range > Bordes > Borde;false;0
1.2.8.153.172.184;Documento > Párrafos > Párrafo > Range > Bordes > Borde;false;0
1.2.8.153.172.185;Documento > Párrafos > Párrafo > Range > Bordes > Borde;false;0
1.2.8.153.172.186;Documento > Párrafos > Párrafo > Range > Bordes > Dist. Inferior;true;0
1.2.8.153.172.187;Documento > Párrafos > Párrafo > Range > Bordes > Dist. Izquierda;true;0
1.2.8.153.172.188;Documento > Párrafos > Párrafo > Range > Bordes > Dist. Derecha;true;0
1.2.8.153.172.189;Documento > Párrafos > Párrafo > Range > Bordes > Dist. Superior;true;0
1.2.8.153.172.181.190;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Estilo de línea;true;1
1.2.8.153.172.181.192;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Color;true;1
1.2.8.153.172.182.193;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Estilo de línea;true;1
1.2.8.153.172.182.195;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Color;true;1
1.2.8.153.172.183.196;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Estilo de línea;true;1
1.2.8.153.172.183.198;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Color;true;1
1.2.8.153.172.184.199;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Estilo de línea;true;1
1.2.8.153.172.184.201;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Color;true;1
1.2.8.153.172.185.202;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Estilo de línea;true;1
1.2.8.153.172.185.204;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Color;true;1
1.2.8.153.173.205;Documento > Párrafos > Párrafo > Range > Shading > BackgroundPatternColor;true;1
1.2.8.153.173.206;Documento > Párrafos > Párrafo > Range > Shading > ForegroundPatternColor;true;1
1.2.8.153.173.207;Documento > Párrafos > Párrafo > Range > Shading > Texture;true;1
1.2.8.153.175.208;Documento > Párrafos > Párrafo > Range > Font > Shading;false;0
1.2.8.153.175.209;Documento > Párrafos > Párrafo > Range > Font > Color;true;1
1.2.8.153.175.210;Documento > Párrafos > Párrafo > Range > Font > Bold;true;1
1.2.8.153.175.211;Documento > Párrafos > Párrafo > Range > Font > Italic;true;1
1.2.8.153.175.212;Documento > Párrafos > Párrafo > Range > Font > Underline;true;1
1.2.8.153.175.213;Documento > Párrafos > Párrafo > Range > Font > DoubleStrikeThrough;true;1
1.2.8.153.175.214;Documento > Párrafos > Párrafo > Range > Font > Emboss;true;1
1.2.8.153.175.215;Documento > Párrafos > Párrafo > Range > Font > Engrave;true;1
1.2.8.153.175.216;Documento > Párrafos > Párrafo > Range > Font > Kerning;true;1
1.2.8.153.175.217;Documento > Párrafos > Párrafo > Range > Font > Name;true;1
1.2.8.153.175.218;Documento > Párrafos > Párrafo > Range > Font > Outline;true;1
1.2.8.153.175.219;Documento > Párrafos > Párrafo > Range > Font > Position;true;1
1.2.8.153.175.220;Documento > Párrafos > Párrafo > Range > Font > Scaling;true;1
1.2.8.153.175.221;Documento > Párrafos > Párrafo > Range > Font > Shadow;true;1
1.2.8.153.175.222;Documento > Párrafos > Párrafo > Range > Font > Size;true;1
1.2.8.153.175.223;Documento > Párrafos > Párrafo > Range > Font > Spacing;true;1
1.2.8.153.175.224;Documento > Párrafos > Párrafo > Range > Font > StrikeThrough;true;1
1.2.8.153.175.225;Documento > Párrafos > Párrafo > Range > Font > Subscript;true;1
1.2.8.153.175.226;Documento > Párrafos > Párrafo > Range > Font > Superscript;true;1
1.2.8.153.175.227;Documento > Párrafos > Párrafo > Range > Font > UnderlineColor;true;1
1.2.8.153.175.208.228;Documento > Párrafos > Párrafo > Range > Font > Shading > BackgroundPatternColor;true;1
1.2.8.153.175.208.229;Documento > Párrafos > Párrafo > Range > Font > Shading > ForegroundPatternColor;true;1
1.2.8.153.175.208.230;Documento > Párrafos > Párrafo > Range > Font > Shading > Texture;true;1
1.2.8.155.231;Documento > Párrafos > Párrafo > Rango-Prop. espec. párrafo > Formato de lista;false;0
1.2.8.155.231.232;Documento > Párrafos > Párrafo > Rango-Prop. espec. párrafo > Formato de lista > Nivel de lista;true;1
1.2.8.155.231.233;Documento > Párrafos > Párrafo > Rango-Prop. espec. párrafo > Formato de lista > Expr. Lista;true;1
1.2.8.155.231.234;Documento > Párrafos > Párrafo > Rango-Prop. espec. párrafo > Formato de lista > Tipo de lista;true;1
1.2.8.155.231.235;Documento > Párrafos > Párrafo > Rango-Prop. espec. párrafo > Formato de lista > Núm. Lista;true;1
1.2.9.236;Documento > Párrafos > Párrafo > Alineación;true;1
1.2.9.237;Documento > Párrafos > Párrafo > Letra capital;false;0
1.2.9.238;Documento > Párrafos > Párrafo > Sang. 1ª línea;true;1
1.2.9.239;Documento > Párrafos > Párrafo > KeepTogether;true;1
1.2.9.240;Documento > Párrafos > Párrafo > KeepWithNext;true;1
1.2.9.241;Documento > Párrafos > Párrafo > Sang. izq.;true;1
1.2.9.242;Documento > Párrafos > Párrafo > Interlineado;true;1
1.2.9.243;Documento > Párrafos > Párrafo > Interlineado;true;1
1.2.9.244;Documento > Párrafos > Párrafo > SpaceAfter;true;1
1.2.9.245;Documento > Párrafos > Párrafo > SpaceBefore;true;1
1.2.9.246;Documento > Párrafos > Párrafo > OutlineLevel;true;1
1.2.9.247;Documento > Párrafos > Párrafo > PageBreakBefore;true;1
1.2.9.248;Documento > Párrafos > Párrafo > Sang. dcha.;true;1
1.2.9.249;Documento > Párrafos > Párrafo > TabStops;false;0
1.2.9.250;Documento > Párrafos > Párrafo > WidowControl;true;1
1.2.9.251;Documento > Párrafos > Párrafo > Range;false;0
1.2.9.252;Documento > Párrafos > Párrafo > División automática de palabras;true;1
1.2.9.253;Documento > Párrafos > Párrafo > Rango-Prop. espec. párrafo;false;0
1.2.9.237.254;Documento > Párrafos > Párrafo > Letra capital > Dist. desde  texto;true;1
1.2.9.237.255;Documento > Párrafos > Párrafo > Letra capital > Fuente;true;1
1.2.9.237.256;Documento > Párrafos > Párrafo > Letra capital > Lín. Ocupadas;true;1
